site_code,state_well_nbr,local_well_designation,latitude,longitude,basin_name,is_voluntary_reporting,total_depth_ft,ewm_station_use_desc
389535N1228968W001,13N09W30A001M,13N-09W-30A1,38.953500,-122.896800,Big Valley,Y,,Residential
389621N1228673W001,13N09W21F002M,13N09W21F002M,38.962220,-122.867223,Big Valley,Y,216,Irrigation
389711N1228964W001,13N09W18R002M,13N09W18R002M,38.971933,-122.895905,Big Valley,Y,40,Residential
389718N1228958W001,13N09W18R001M,,38.971800,-122.895800,Big Valley,Y,,Residential
389726N1228847W001,13N09W17K002M,,38.972600,-122.884700,Big Valley,Y,,Irrigation
389734N1228679W001,13N09W16L001M,13N-09W-16L1,38.973400,-122.867900,Big Valley,Y,,Irrigation
389741N1228984W001,13N09W18J001M,13N-09W-18J1,38.974100,-122.898400,Big Valley,Y,,Irrigation
389778N1228732W001,13N09W16E002M,13N-09W-16E2,38.977800,-122.873200,Big Valley,Y,,Unknown
389796N1228819W001,13N09W09Q002M,13N09W09Q002M,38.979600,-122.881900,Big Valley,Y,40,Residential
389796N1228819W002,13N09W17B001M,,38.979600,-122.881900,Big Valley,Y,,Irrigation
389797N1228831W001,13N09W17C002M,13N-09W-17C2,38.979700,-122.883100,Big Valley,Y,,Irrigation
389825N1228286W001,13N09W11Q001M,,38.982500,-122.828600,Big Valley,Y,,Residential
389838N1228931W001,13N09W08N001M,,38.983800,-122.893100,Big Valley,Y,,Irrigation
389863N1228186W001,13N09W12M002M,13N-09W-12M2,38.986300,-122.818600,Big Valley,Y,,Irrigation
389868N1228802W001,13N09W08K002M,13N-09W-08K2,38.986800,-122.880200,Big Valley,Y,,Irrigation
389875N1228666W001,13N09W09L001M,13N-09W-09L1,38.987505,-122.866551,Big Valley,N,,Irrigation
389884N1228936W001,13N09W08M003M,13N09W08M003M,38.988400,-122.893600,Big Valley,Y,246,Irrigation
389898N1228293W001,13N09W11F001M,13N-09W-11F1,38.989800,-122.829300,Big Valley,Y,,Stockwatering
389898N1228555W001,13N09W10E001M,13N-09W-10E1,38.989800,-122.855500,Big Valley,Y,,Irrigation
389907N1228239W001,13N09W11H001M,,38.990700,-122.823900,Big Valley,Y,,Other
389909N1229116W001,13N09W07E001M,13N-09W-07E1,38.990900,-122.911600,Big Valley,Y,,Residential
389930N1228687W001,13N09W09F002M,13N09W09F002M,38.993000,-122.868700,Big Valley,Y,52,Residential
389937N1228718W001,13N09W09D005M,13N-09W-09D5,38.993700,-122.871800,Big Valley,Y,,Irrigation
389937N1228751W001,13N09W09D001M,,38.993700,-122.875100,Big Valley,Y,,Irrigation
389940N1228706W001,13N09W09C004M,13N-09W-09C4,38.994000,-122.870600,Big Valley,Y,,Residential
389946N1228947W001,13N09W07A003M,13N-09W-07A3,38.994647,-122.894686,Big Valley,N,35,Residential
389949N1228308W001,13N09W11A002M,13N09W11A002M,38.994679,-122.822260,Big Valley,Y,200,Irrigation
389971N1228413W001,13N09W03R002M,13N-09W-03R2,38.997100,-122.841300,Big Valley,Y,,Residential
389972N1228414W001,13N09W03R001M,13N-09W-03R1,38.997183,-122.841335,Big Valley,N,167,Irrigation
389975N1228770W001,13N09W05R005M,13N09W05R005M,38.997506,-122.877074,Big Valley,Y,185,Irrigation
389977N1229095W001,13N09W06N001M,13N-09W-06N1,38.997700,-122.909500,Big Valley,Y,,Irrigation
389984N1228666W001,13N09W04Q003M,13N-09W-04Q3,38.998400,-122.866600,Big Valley,Y,,Irrigation
389993N1228482W001,13N09W03P001M,13N-09W-03P1,38.999300,-122.848200,Big Valley,Y,,Irrigation
390009N1228936W001,13N09W05M001M,,39.000900,-122.893600,Big Valley,Y,,Other
390011N1228427W001,13N09W03J005M,13N09W03J005M,39.003570,-122.842710,Big Valley,Y,250,Irrigation
390040N1228490W001,13N09W03F006M,13N09W03F006M,39.004040,-122.848964,Big Valley,Y,70,Irrigation
390041N1228801W001,13N09W04G001M,13N-09W-04G1,39.004100,-122.880100,Big Valley,Y,,Irrigation
390043N1228288W001,13N09W02K003M,13N-09W-02K3,39.004300,-122.828800,Big Valley,Y,,Irrigation
390044N1228434W001,13N09W03G001M,13N09W03G001M,39.004400,-122.843400,Big Valley,Y,165,Irrigation
390044N1228960W001,13N09W06H001M,,39.004400,-122.896000,Big Valley,Y,,Other
390045N1228662W001,13N09W05J005M,13N-09W-05J5,39.004500,-122.866200,Big Valley,Y,,Irrigation
390047N1228951W001,13N09W06H003M,13N-09W-06H3,39.004700,-122.895100,Big Valley,Y,,Irrigation
390047N1228963W001,13N09W06H002M,13N-09W-06H2,39.004700,-122.896300,Big Valley,Y,,Irrigation
390058N1228420W001,13N09W03H004M,13N09W03H004M,39.007004,-122.839639,Big Valley,Y,178,Irrigation
390068N1228381W001,13N09W02E002M,13N09W02E002M,39.005291,-122.838267,Big Valley,Y,210,Irrigation
390074N1228223W001,13N09W02H001M,13N-09W-02H1,39.007381,-122.822292,Big Valley,N,,Residential
390095N1228385W001,13N09W03A004M,13N09W03A004M,39.009652,-122.838395,Big Valley,Y,248,Irrigation
390104N1228306W001,13N09W02C002M,13N-09W-02C2,39.010400,-122.830600,Big Valley,Y,,Irrigation
390111N1228526W001,13N09W03D004M,,39.011100,-122.852600,Big Valley,Y,,Irrigation
390128N1228617W001,14N09W33Q003M,14N09W33Q003M,39.012810,-122.861743,Big Valley,Y,185,Irrigation
