location,location_name,lat,lon
e_finley_rd,East Finley Rd.,39.004312,-122.873378
bell_hill_rd,Bell Hill Rd.,38.957396,-122.890577
manning_br,Manning Bridge,39.021009,-122.872381
scully_meadow,Scully Meadow,,
argonaut_rd,Argonaut Rd.,38.993806,-122.877682
hwy_29,Highway 29,38.993345,-122.878016
14c-2,14C-2,,
 NA,,,
harris_ave,Harris Ave.,39.001824,-122.874722
thomas_rd,Thomas Rd.,38.997123,-122.87728
merrit_rd,Merrit Rd.,38.982645,-122.878618
big_valley_rd,Big Valley Rd.,39.00125,-122.875425
highland_springs_dam,Highland Spring Dam,38.94794,-122.902612
soda_bay_rd,Soda Bay Rd.,39.014911,-122.870851
stone_rd,Stone Rd.,39.021,-122.872501
clear_lake,Clear Lake,39.028771,-122.877883
